"Lect","Note"
"Southern Altai","It is uncertain whether all short vowels have long counterparts. Here it is assumed they do. The onset/coda restrictions are inferred from word-initial/medial/final examples."
"Southern Jinghpaw","/pɻ kɻ pʰɻ kʰɻ/ are analyzed as biconsonantal onsets, contrary to the source's analysis, as /ᶈ ᶄ ᶈʰ ᶄʰ/ are absent in PanPhon."
"Southern Kurdish","It wasn't clear what the ``bilabiale continue centrale sonore [voiced central continuant bilabial]'' (p. 173) refers to. Based on its description, I interpret it as /ɥ/."
"Southern Pashto","``Initial clusters'' interpreted as onset clusters."
"Southern Pumi","The ``舌叶前 [prelaminal]'' and ``舌叶后 [postlaminal]'' fricatives (pp. 11-12) are transcribed as /ʃ ʒ/ and /ʃ̠ ʒ̠/, respectively."
"Sri Lanka Malay","The source lists /f ʃ ʒ/ as xenophones in the consonant inventory table but does not discuss it further as phonemes. Personal communication with the author has informed me that prenasalized stops are not permitted at coda position."
"Standard Malay","Same as Indonesian."
"Stau-Dgebshes","The archiphoneme <N> occuring in NC clusters is transcribed as /n/. Although the archiphoneme is realized as the homoorganic nasal to the obstruent ([mp nt ŋk ɴq ɳʈ͡ʂ ...]), given that it is realized as [n] in [nv nw] and not *[ɱ], [n] seems to be most unmarked form."
"Sui","``Alveolo-palatal'' plosives transcribed as palatal /c cʰ ɟ ɟʰ/."
"Swedish","Word-initial and word-final clusters interpreted as onset and coda clusters."
"Tai Do-Mene-Yo","<ï ïï ë ëë> transcribed as /ɨ ɨː ə əː/. It is assumed that an onset is obligatory, given that the source does not mention zero initial."
"Tamil","Loan phonemes were excluded based on the source's assumption that ``distinctive segments brought into the language by the introduction of foreign borrowings should be treated as belonging to a different phonological system than the native one'' (p. 211)."
"Tangam","Identical vowel sequences analyzed as long vowels."
"Tatar","/ŋ/ does not appear at word-initial position and here it is assumed that it also does not appear as word-internal onset. It wasn't clear whether the biconsonantal codas listed in p. 10 are exhaustive, although here they are assumed to be. Furthermore, p. 11 lists biconsonantal codas in loanwords that are unstable and tend to be resyllabified by some speakers by vowel epenthesis: /lqʰ χtʰ ftʰ jχ/. These four are thus excluded. It is not clear whether other biconsonantal clusters are unstable."
"Thakali","Word-initial and word-final restrictions interpreted as onset and coda restrictions."
"Tindi","``Dental'' and ``alveolar'' affricates, described as both ``weak'' and ``strong'' (where ``weak'' is assumed to mean palatalized), are interpreted as alveolo-palatal and palato-alveolar affricates."
"Tsakhur","/q/ only appears word-initially and word-medially and /ʔ/ only appears word-medially and word-finally. It is assumed here that /q/ does not appear as a word-internal coda and that /ʔ/ does not appear as a word-internal onset."
"Tsez","``Consonant clusters are rare and occur word medially in loan words'' (p. 118). Given the absence of word-initial and word-final clusters, I assume that only biconsonantal medial clusters occur."
"Tulu","The segments <h y w>, although described in the source as velar/palatal/labial fricatives, probably refers to /h j w/ rather than /x ʝ β/, based on their overall description. It wasn't clear whether the list of possible consonant clusters are comprehensive; here they are assumed to be."
"Turkmen","Word-initial and word-final constraints interpreted as onset and coda constraints. <š ǰ č> were defined as ``alveolar'' but described as English <sh j ch>. They are thus transcribed here as palato-alveolar."
"Turoyo","Emphatic consonants interpreted as pharyngealized consonants."
"Udihe","Ideophonic consonants not included. The ``diphthongoid'' <ie> is transcribed as /eː/."
"Udmurt","``Postalveolar'' and ``palatal'' sibilants are interpreted as alveolo-palatal and palato-alveolar sibilants, respectively."
"Urum","<č j š ž> interpreted as /t͡ʃ d͡ʒ ʃ ʒ/."
"Vach-Vasjugan","The source notes that CC clusters normally undergo vowel epenthesis but clusters with a homorganic sonorant may forego epenthesis. As epenthesis is optionally present in all CC forms, I have not included CC as a coda form."
"Veps","The diphthongs may be VV or V[vj] sequences, both interpretations being likely (p. 307). Here, they are interpreted as VV sequences."
"Vietnamese","`` The initial consonant may be accompanied by a secondary labial articulation'' (p. 388). Here I interpret this as a complex onset (Cw)."
"Votic","It is unclear what the affricate <š't'š'> represents, hence it was excluded."
"Waddar","It is not clear whether the list of clusters are comprehensive. Here it is assumed to be."
"Wayu","It wasn't clear if the seven vowel qualities all exist as long nasalized vowels. Here it is assumed that all seven exist."
"Welsh","Northern Welsh. The onset clusters include ``citation forms'' and ``mutation forms''."
"West Itelmen","Labialization is treated as a suprasegmental phoneme in the source (§2.3.1)."
"West Yugur","``There is only one instance of an initial consonant cluster: the obsolescent evidential particle -trʊ.'' (p. 28) As it is obsolescent, I have not included it."
"Western Armenian","Loanwords not reflected in the list of codas."
"Western Balochi","The source analyzes the initial part of some word-initial clusters and the final part of some word-final clusters as prependices and semisyllables, respectively. I do not reflect this analysis here as no reason for such analysis was given other than the violation of the sonority hierarchy."
"Western Farsi","Diphthong <ow> here transcribed as <ou>, given that /w/ is absent."
"Western Magar","Syangja variety. It's uncertain whether /t͡sʰ d͡z̤/ appear as coda. Since affricates only appear as coda in Nepali loans (p. 50), and given that /t͡sʰ/ but not /d͡z̤/ appear as coda in Nepali, I assumed that /t͡sʰ/ appear as coda but not /d͡z̤/. The maximal onset length and coda length were not specified, but as only biconsonantal onsets were mentioned, I assume them to be the limit."
"Western Muria","The source analyzes nasalized vowels as sequences of oral vowels and ``vocoid nasal semivowel''. For theoretical consistency, here they are transcribed as nasalized vowels."
"Western Neo-Aramaic","Emphatic consonants interpreted as pharyngealized consonants."
"Western Ong-Be","Lincheng 临城 variety."
"Western Puroik","Nasal vowels are interpreted as underlying VN sequences, as they are realized as nasal vowels in isolation but the nasal coda emerges before plosives (e.g. /ũ̀/ [ũː] `came' vs. /ũ̀-pʰɛ́ʔ/ [umpʰɛʔ] `reached', p. 67). An exception is /ɛ̃/, which is realized as a nasal vowel in all contexts and thus analyzed as a phonemic nasal vowel. The motivation for adopting this alternative analysis (contra the grammarian's view that all /Ṽ/s are monophonemic nasal vowels) is that the comprehensive list of possible nasal vowels and diphthongs including nasal vowels was not given."
"Western Tamang","The source does not mention word-medial clusters, when they apparently exist (e.g. /mjendo/ 'flower', p. 15). Here, the word-final consonants are assumed to be identical to coda consonants."
"Wu Chinese","The Shanghai variety."
"Wuding-Luquan Yi","The source analyzes prenasalized aspirated voiced initials as biconsonantal clusters. Here I analyze them as single consonants, as aspirated voiced consonants do not appear as singleton initials. While glide-vowel and vowel-glide sequences are both permitted, it is unclear which vowels can function as glides."
"Wutunhua","An exhaustive list of onset clusters was not given. However, given the relatively small number of logically possible onset clusters, I interpret that all logically possible onset clusters are present. Although the source analyzes nasal vowels as realizations of a nasal coda, as it never surfaces as VN, I interpret nasal vowels as phonemes."
"Yakkha","The diphthong /au/ was excluded as it only occurs in interjections."
"Zauzou","``The tonemic contrast between /13/ and /35 is not stable'' (p. 58). The glide in a CGV syllable is not phonemic."
"Zbu","The /Cŋ/ biconsonantal coda is unstable (p. 67). The velarized vowels /uˠ iˠ oˠ eˠ/ are not included, as their acoustic difference is minimal (p. 44) and /uˠ/ is not present in PanPhon."
